Branch
BusNumFrom,BusNumTo,R,X,B,LimitMVAA,LimitMVAB,LimitMVAC,Tap,Phase,Status,Circuit
1,1405,0.002780,0.011490,0.001900,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
1,1404,0.002770,0.011460,0.001900,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
1,1403,0.002760,0.011410,0.001890,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
1,1402,0.002800,0.011560,0.001920,115.999997,555.999994,145.000005,1.000000,0.000000,Closed,2
1,1422,0.001900,0.007850,0.001300,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
1,1551,0.004370,0.018050,0.002990,555.999994,555.999994,600.000000,1.000000,0.000000,Closed,2
1,1551,0.004770,0.019730,0.003270,555.999994,555.999994,600.000000,1.000000,0.000000,Closed,1
1,1550,0.024270,0.100340,0.016620,115.999997,555.999994,145.000005,1.000000,0.000000,Closed,2
1,1550,0.024270,0.100340,0.016620,115.999997,555.999994,145.000005,1.000000,0.000000,Closed,1
1,242,0.006630,0.027410,0.004540,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
1,228,0.013360,0.055240,0.009150,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
1,228,0.012070,0.049890,0.008260,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
1,199,0.002540,0.010510,0.001740,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
1,1402,0.002800,0.011560,0.001920,115.999997,555.999994,145.000005,1.000000,0.000000,Closed,1
4,449,0.006370,0.026340,0.004360,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
4,193,0.001020,0.004210,0.000700,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
4,193,0.001050,0.004350,0.000720,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
4,193,0.001030,0.004250,0.000700,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,3
4,1527,0.004950,0.021100,0.002700,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
4,1527,0.004950,0.021100,0.002700,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
9,851,0.003230,0.013360,0.002210,240.000010,555.999994,265.000010,1.000000,0.000000,Closed,1
9,524,0.010920,0.045160,0.007480,555.999994,555.999994,555.999994,1.000000,0.000000,Closed,1
10,450,0.004180,0.017290,0.002860,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
11,489,0.001960,0.008120,0.001340,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
13,1442,0.001560,0.006460,0.001070,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
13,196,0.001560,0.006450,0.001070,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
14,460,0.001430,0.005900,0.000980,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
15,402,0.002100,0.008700,0.001440,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
16,1394,0.025980,0.107430,0.017790,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
16,391,0.021180,0.087560,0.014500,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
17,1467,0.003020,0.108640,0.000000,500.000000,500.000000,500.000000,1.000000,0.000000,Closed,1
17,1467,0.003020,0.108640,0.000000,500.000000,500.000000,500.000000,1.000000,0.000000,Closed,2
17,628,0.001700,0.008500,0.064000,300.000000,300.000000,329.999995,1.000000,0.000000,Closed,N2
17,628,0.001700,0.008500,0.064000,300.000000,300.000000,329.999995,1.000000,0.000000,Closed,N1
18,1494,0.003570,0.008120,0.000160,250.000000,250.000000,250.000000,1.000000,0.000000,Closed,1
18,1494,0.003200,0.007270,0.000140,250.000000,250.000000,250.000000,1.000000,0.000000,Closed,2
18,1494,0.003200,0.007270,0.000140,250.000000,250.000000,250.000000,1.000000,0.000000,Closed,3
18,561,0.040070,0.091090,0.001780,250.000000,250.000000,250.000000,1.000000,0.000000,Closed,1
18,583,0.010090,0.022940,0.000450,200.000000,250.000000,200.000000,1.000000,0.000000,Closed,1
18,585,0.008020,0.018230,0.000360,250.000000,250.000000,250.000000,1.000000,0.000000,Closed,1
19,1538,0.003800,0.015720,0.002600,555.999994,555.999994,555.999994,1.000000,0.000000,Closed,1
19,1538,0.003800,0.015720,0.002600,555.999994,555.999994,555.999994,1.000000,0.000000,Closed,2
19,1538,0.003800,0.015720,0.002600,555.999994,555.999994,555.999994,1.000000,0.000000,Closed,3
19,1538,0.003800,0.015720,0.002600,555.999994,555.999994,555.999994,1.000000,0.000000,Closed,4
19,1538,0.003800,0.015720,0.002600,555.999994,555.999994,555.999994,1.000000,0.000000,Closed,5
21,406,0.020310,0.069880,0.008590,115.999997,555.999994,145.000005,1.000000,0.000000,Closed,1
21,403,0.005000,0.020690,0.003430,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
