Bus
Number,BusCat,LoadMW,LoadMvar,ShuntMWNom,ShuntMvarNom,AreaNumber,Vpu,Vangle,NomkV,ZoneNumber,LimitHighUsed,LimitLowUsed,Name,Latitude,Longitude
1,PV,132.343233,0.000000,0.000000,0.000000,1,1.020000,114.018979,115.000000,66,1.100000,0.900000,MORTIMER,43.098744,-77.647788
2,PQ,1.783227,0.000000,,,1,1.011461,69.131608,69.000000,70,1.100000,0.900000,UNKNOWN124116,42.955902,-74.185051
3,PQ,3.965898,0.000000,,,1,1.017402,86.860122,115.000000,70,1.100000,0.900000,UNKNOWN124120,43.851192,-73.424487
4,PQ,96.595681,0.000000,,,1,0.997196,111.214846,115.000000,68,1.100000,0.900000,UNKNOWN124121,44.723820,-73.463840
5,PQ,3.965898,0.000000,,,1,1.009282,91.799026,115.000000,70,1.100000,0.900000,UNKNOWN124122,44.055436,-73.479099
6,PV,3.965898,0.000000,,,1,1.020000,71.585086,115.000000,70,1.100000,0.900000,UNKNOWN124124,42.823234,-73.751654
7,PQ,7.931796,0.000000,,,1,1.014014,71.295434,115.000000,70,1.100000,0.900000,UNKNOWN124125,42.740557,-73.649645
8,PQ,7.931796,0.000000,,,1,1.017194,71.731752,115.000000,70,1.100000,0.900000,UNKNOWN124127,43.307974,-73.681452
9,PQ,38.362610,0.000000,,,1,1.013153,62.908764,115.000000,71,1.100000,0.900000,UNKNOWN124132,41.573255,-73.965371
10,PQ,19.319135,0.000000,,,1,1.019228,105.414481,115.000000,68,1.100000,0.900000,UNKNOWN124133,44.990515,-73.373267
11,PQ,7.931796,0.000000,,,1,1.018315,86.640125,115.000000,70,1.100000,0.900000,UNKNOWN124134,43.845611,-73.445999
12,PQ,3.965898,0.000000,,,1,1.013192,70.141877,115.000000,70,1.100000,0.900000,UNKNOWN124137,42.907788,-73.610353
13,PQ,15.863591,0.000000,,,1,1.010859,69.101937,115.000000,70,1.100000,0.900000,UNKNOWN124138,42.964235,-73.799211
14,PQ,4.211769,0.000000,,,1,1.013018,77.322397,115.000000,69,1.100000,0.900000,UNKNOWN124143,42.686218,-74.937577
15,PV,4.211769,0.000000,,,1,1.020000,109.046300,115.000000,69,1.100000,0.900000,UNKNOWN124145,44.210784,-75.058850
16,PQ,10.529421,0.000000,,,1,1.004769,93.375891,115.000000,69,1.100000,0.900000,BOONVILLE,43.509641,-75.357788
17,PQ,44.933414,0.000000,,,1,1.015176,37.781726,138.000000,75,1.100000,0.900000,UNKNOWN124147,40.618101,-73.647975
18,PQ,42.125076,0.000000,,,1,1.021581,42.599683,69.000000,75,1.100000,0.900000,GLENWOOD LANDING,40.828118,-73.646693
19,PV,86.977214,0.000000,,,1,1.020000,39.392708,115.000000,75,1.100000,0.900000,NORTHPORT,40.923310,-73.341141
20,PQ,8.423537,0.000000,,,1,1.015032,112.784995,115.000000,69,1.100000,0.900000,UNKNOWN124156,44.584715,-74.958050
21,PQ,8.423537,0.000000,,,1,1.015357,112.787037,115.000000,69,1.100000,0.900000,UNKNOWN124157,44.583429,-74.957555
22,PQ,1.783227,0.000000,,,1,1.019546,70.463258,69.000000,70,1.100000,0.900000,UNKNOWN124159,43.009714,-74.536843
23,PQ,10.529421,0.000000,,,1,1.014736,77.554523,115.000000,69,1.100000,0.900000,UNKNOWN124160,43.060226,-74.763416
24,PV,22.544706,0.000000,,,1,1.020000,105.790933,115.000000,67,1.100000,0.900000,UNKNOWN124162,43.523234,-75.971489
25,PQ,2.105884,0.000000,,,1,1.020590,105.066601,115.000000,69,1.100000,0.900000,UNKNOWN124163,43.871954,-75.136058
26,PV,,,,,1,1.020000,52.234773,345.000000,74,1.100000,0.900000,UNKNOWN124169,40.781786,-73.898094
27,PV,9.017884,0.000000,,,1,1.020000,100.552845,115.000000,67,1.100000,0.900000,UNKNOWN124171,43.060766,-76.082133
28,PQ,2.105884,0.000000,,,1,1.019947,105.459036,115.000000,69,1.100000,0.900000,UNKNOWN124172,43.984253,-75.622452
29,PQ,18.035768,0.000000,,,1,0.996829,108.854261,115.000000,67,1.100000,0.900000,UNKNOWN124194,42.679429,-76.951052
30,PV,9.017885,0.000000,,,1,1.020000,118.973859,115.000000,67,1.100000,0.900000,UNKNOWN124195,42.304849,-77.555069
31,PV,3.965898,0.000000,,,1,1.020000,72.760200,115.000000,70,1.100000,0.900000,UNKNOWN124198,43.248533,-73.819678
32,PV,3.965898,0.000000,,,1,1.020000,72.779643,115.000000,70,1.100000,0.900000,UNKNOWN124199,43.249373,-73.808958
33,PV,5.712413,0.000000,,,1,1.025000,129.671736,115.000000,65,1.100000,0.900000,UNKNOWN124200,42.653793,-78.077057
34,PV,9.017884,0.000000,,,1,1.020000,109.861313,115.000000,67,1.100000,0.900000,HAMMERHILL,43.471667,-76.493113
35,PQ,45.969820,0.000000,,,1,1.001563,106.695706,115.000000,68,1.100000,0.900000,UNKNOWN124202,44.703875,-73.596173
36,PQ,45.969817,0.000000,,,1,1.001403,106.759657,115.000000,68,1.100000,0.900000,UNKNOWN124203,44.703151,-73.595363
37,PQ,8.568621,0.000000,,,1,1.009787,124.247137,115.000000,65,1.100000,0.900000,UNKNOWN124205,43.161746,-78.738541
38,PV,5.712413,0.000000,,,1,1.020000,127.276696,115.000000,65,1.100000,0.900000,BLISS WINDPARK,42.531910,-78.306388
39,PV,,,,,1,1.025000,133.546052,230.000000,65,1.100000,0.900000,UNKNOWN124224,42.669849,-78.228014
40,PQ,2.105884,0.000000,,,1,1.023916,119.406697,115.000000,69,1.100000,0.900000,UNKNOWN124225,44.924461,-74.111313
41,PQ,5.712413,0.000000,,,1,1.009730,126.321478,115.000000,65,1.100000,0.900000,UNKNOWN124226,43.048558,-78.854344
42,PQ,19.993450,0.000000,,,1,1.019977,123.751397,115.000000,65,1.100000,0.900000,UNKNOWN124228,42.089451,-78.457270
43,PQ,5.712413,0.000000,,,1,1.018581,123.360765,115.000000,65,1.100000,0.900000,DUGAN,42.076291,-78.389265
44,PQ,2.856207,0.000000,,,1,1.018601,123.370319,115.000000,65,1.100000,0.900000,UNKNOWN124230,42.073222,-78.389997
45,PQ,8.568621,0.000000,,,1,1.018610,123.372561,115.000000,65,1.100000,0.900000,TAP124231,42.073237,-78.385786
46,PQ,5.712413,0.000000,,,1,1.019920,123.737383,115.000000,65,1.100000,0.900000,W OLEAN,42.081938,-78.455280
47,PQ,2.856207,0.000000,,,1,1.021828,124.583670,115.000000,65,1.100000,0.900000,VALLEY CAT,42.258824,-78.643367
48,PQ,11.424827,0.000000,,,1,1.019287,124.759159,115.000000,65,1.100000,0.900000,MACHIAS #13,42.405648,-78.494775
49,PQ,4.211769,0.000000,,,1,1.013502,82.198647,115.000000,69,1.100000,0.900000,VALLEY,43.032931,-74.982356
50,PQ,4.211769,0.000000,,,1,1.006299,110.273893,115.000000,69,1.100000,0.900000,UNKNOWN124248,44.692246,-75.494483
51,PQ,4.508942,0.000000,,,1,1.017204,120.688469,115.000000,67,1.100000,0.900000,UNKNOWN124251,42.327271,-77.665631
52,PV,4.508942,0.000000,,,1,1.020000,121.098730,115.000000,67,1.100000,0.900000,UNKNOWN124252,42.189664,-77.544242
53,PV,9.017884,0.000000,,,1,1.020000,120.764039,115.000000,67,1.100000,0.900000,UNKNOWN124253,42.576349,-77.457504
54,PQ,,,,,1,1.015820,121.689967,230.000000,67,1.100000,0.900000,UNKNOWN124256,42.237394,-77.163284
55,PQ,13.526824,0.000000,,,1,1.002552,111.537786,115.000000,67,1.100000,0.900000,UNKNOWN124257,42.316118,-77.271671
56,PQ,9.017884,0.000000,,,1,1.001197,110.214841,115.000000,67,1.100000,0.900000,UNKNOWN124258,42.231262,-77.209283
