Gen
BusNum,MW,Mvar,MvarMax,MvarMin,VoltSet,CustomFloat:0,Status,MWMax,MWMin,ID,AreaNumber,ZoneNumber,FuelTypeCode,UnitTypeCode,CustomString:0,CustomString:1,CustomString:2,CustomString:3
1,0.000000,248.978019,250.000000,-250.000000,1.020000,,Closed,0.000000,0.000000,QS,1,66,UN,UN,,,,
6,2.800000,-0.131733,1.800000,-1.500000,1.020000,,Closed,2.800000,1.000000,1,1,70,WAT,HY,2685,2685-1,,
6,2.800000,-0.131733,1.800000,-1.500000,1.020000,,Closed,2.800000,1.000000,2,1,70,WAT,HY,2685,2685-2,,
6,3.000000,-0.131733,2.000000,-1.700000,1.020000,,Closed,3.000000,1.000000,3,1,70,WAT,HY,2685,2685-3,,
6,3.000000,-0.131733,2.000000,-1.700000,1.020000,,Closed,3.000000,1.000000,4,1,70,WAT,HY,2685,2685-4,,
15,8.000000,0.256967,5.200000,-4.400000,1.020000,,Closed,8.000000,7.000000,1,1,69,WAT,HY,2548,2548-1,,
15,8.000000,0.256967,5.200000,-4.400000,1.020000,,Closed,8.000000,7.000000,2,1,69,WAT,HY,2548,2548-2,,
17,0.000000,0.000000,11.700000,-9.900000,1.020000,,Open,18.000001,10.500000,1,1,75,NG,GT,2511,2511-3,,
17,0.000000,0.000000,27.200001,-23.000000,1.020000,,Open,41.800001,30.000001,10,1,75,NG,GT,2511,2511-11,,
17,0.000000,0.000000,27.200001,-23.000000,1.020000,,Open,41.800001,30.000001,11,1,75,NG,GT,2511,2511-12,,
17,0.000000,0.000000,122.200000,-103.400004,1.020000,,Open,188.000000,15.000001,12,1,75,NG,ST,2511,2511-ST1,,
17,0.000000,0.000000,122.200000,-103.400004,1.020000,,Open,188.000000,15.000001,13,1,75,NG,ST,2511,2511-ST2,,
17,0.000000,0.000000,11.700000,-9.900000,1.020000,,Open,18.000001,11.400000,2,1,75,NG,GT,2511,2511-4,,
17,0.000000,0.000000,11.700000,-9.900000,1.020000,,Open,18.000001,11.000000,3,1,75,NG,GT,2511,2511-5,,
17,0.000000,0.000000,11.700000,-9.900000,1.020000,,Open,18.000001,11.200000,4,1,75,NG,GT,2511,2511-6,,
17,0.000000,0.000000,11.700000,-9.900000,1.020000,,Open,18.000001,11.400000,5,1,75,NG,GT,2511,2511-8,,
17,0.000000,0.000000,11.700000,-9.900000,1.020000,,Open,18.000001,10.700000,6,1,75,NG,GT,2511,2511-GT1,,
17,0.000000,0.000000,11.700000,-9.900000,1.020000,,Open,18.000001,9.000000,7,1,75,NG,GT,2511,2511-GT2,,
